sr_no,name,image_url,gender
93,nawazuddin_siddique,https://i.imgur.com/cQXOIgN.jpg,male
94,rohit_sharma,https://i.imgur.com/rHwOWDZ.jpg,male
95,yuvraj_singh,https://i.imgur.com/nx8XTkD.jpg,male
96,prince_narula,https://i.imgur.com/UJYDq4r.jpg,male
97,parmish_varma,https://i.imgur.com/dU1tIEk.jpg,male
98,anu_kapoor,https://i.imgur.com/qLZoGmE.jpg,male
99,jaani,https://i.imgur.com/Xy2WzZt.jpg,male
100,amrinder_gill,https://i.imgur.com/00yPym9.jpg,male
101,bhuvam_bam,https://i.imgur.com/4TjRCOH.jpg,male
102,ajey_nagar,https://i.imgur.com/U6juzgp.jpg,male
103,aashish_chanchlani,https://i.imgur.com/Cz4ZTH8.jpg,male
104,prajakta,https://i.imgur.com/2TDeXtf.jpg,male
105,gaurav_taneja,https://i.imgur.com/LrgzcB9.jpg,male
106,gaurav_choudhary,https://i.imgur.com/mUVMv9C.jpg,male
107,sajid_khan,https://i.imgur.com/TPOBI3T.jpg,male
108,salim,https://i.imgur.com/1CtCmsR.jpg,male
109,jay,https://i.imgur.com/lzAsAHM.jpg,male
110,karan,https://i.imgur.com/chA0amP.jpg,male
111,aditya_narayan,https://i.imgur.com/rL12ltz.jpg,male
112,manish_paul,https://i.imgur.com/hDpu1e0.jpg,male
113,kushal_tandon,https://i.imgur.com/Akb1JSo.jpeg,male
114,rithvik,https://i.imgur.com/oHpMArB.jpg,male
115,karan_johar,https://i.imgur.com/T1LfXBw.jpg,male
116,hussain_kuwajerwala,https://i.imgur.com/dLwtatg.jpeg,male
117,rajat_kapoor,https://i.imgur.com/Jd1rdXk.jpg,male
118,ronit_roy,https://i.imgur.com/TbGgbeB.jpg,male
119,uday_chopra,https://i.imgur.com/wFXYQNv.jpg,male
120,sanam_puri,https://i.imgur.com/Na3HvbR.jpg,male
121,randeep_rai,https://i.imgur.com/PXuGIvZ.jpg,male
122,shaheer_shaikh,https://i.imgur.com/Q6fO4Ao.jpg,male
